"ano_pesquisa","categoria","tecnologia","quantidade","base_respostas_validas","total_respondentes_ano","percentual_respondentes","cobertura_percentual","tipo_resposta","ranking"
"2023","Banco de dados utilizado","Flutter Hive","1","3772","5293","0.03","71.26","Múltipla","104"
"2023","Banco de dados utilizado","Chroma","1","3772","5293","0.03","71.26","Múltipla","105"
"2023","Banco de dados utilizado","Drive e Airtable","1","3772","5293","0.03","71.26","Múltipla","106"
"2023","Banco de dados utilizado","ADABAS","1","3772","5293","0.03","71.26","Múltipla","107"
"2023","Banco de dados utilizado","Nubank","1","3772","5293","0.03","71.26","Múltipla","108"
"2023","Banco de dados utilizado","Não tenho um banco de dados no meu trabalho. Nós utilizamos o Sharepoint como armazenamento de dados","1","3772","5293","0.03","71.26","Múltipla","109"
"2023","Banco de dados utilizado","MUMPS","1","3772","5293","0.03","71.26","Múltipla","110"
"2023","Banco de dados utilizado","Nenhum desses","1","3772","5293","0.03","71.26","Múltipla","111"
"2023","Banco de dados utilizado","Fivetran","1","3772","5293","0.03","71.26","Múltipla","112"
"2023","Banco de dados utilizado","Impala SQL","1","3772","5293","0.03","71.26","Múltipla","113"
"2023","Banco de dados utilizado","GraphDB","1","3772","5293","0.03","71.26","Múltipla","114"
"2023","Banco de dados utilizado","Spark","1","3772","5293","0.03","71.26","Múltipla","115"
"2023","Banco de dados utilizado","Gauss DB","1","3772","5293","0.03","71.26","Múltipla","116"
"2023","Banco de dados utilizado","Não estou","1","3772","5293","0.03","71.26","Múltipla","117"
"2023","Banco de dados utilizado","trabalhando com dados","1","3772","5293","0.03","71.26","Múltipla","118"
"2023","Banco de dados utilizado","denodo","1","3772","5293","0.03","71.26","Múltipla","119"
"2023","Banco de dados utilizado","DENODO","1","3772","5293","0.03","71.26","Múltipla","120"
"2023","Banco de dados utilizado","Weaviate","1","3772","5293","0.03","71.26","Múltipla","121"
"2023","Banco de dados utilizado","milvus.db","1","3772","5293","0.03","71.26","Múltipla","122"
"2023","Banco de dados utilizado","Sistema da empresa","1","3772","5293","0.03","71.26","Múltipla","123"
"2023","Banco de dados utilizado","Qlik Sense","1","3772","5293","0.03","71.26","Múltipla","124"
"2023","Banco de dados utilizado","MaxDB","1","3772","5293","0.03","71.26","Múltipla","125"
"2023","Banco de dados utilizado","Azure - Synapse","1","3772","5293","0.03","71.26","Múltipla","126"
"2023","Banco de dados utilizado","IBM Netezza","1","3772","5293","0.03","71.26","Múltipla","127"
"2023","Banco de dados utilizado","Azure Storage","1","3772","5293","0.03","71.26","Múltipla","128"
"2023","Banco de dados utilizado","Redshift Athena","1","3772","5293","0.03","71.26","Múltipla","129"
"2023","Banco de dados utilizado","Netezza","1","3772","5293","0.03","71.26","Múltipla","130"
"2023","Banco de dados utilizado","ODS","1","3772","5293","0.03","71.26","Múltipla","131"
"2023","Banco de dados utilizado","API","1","3772","5293","0.03","71.26","Múltipla","132"
"2023","Banco de dados utilizado","não trabalho com dados","1","3772","5293","0.03","71.26","Múltipla","133"
"2023","Banco de dados utilizado","Bases Privadas","1","3772","5293","0.03","71.26","Múltipla","134"
"2023","Banco de dados utilizado","Bigtable","1","3772","5293","0.03","71.26","Múltipla","135"
"2023","Banco de dados utilizado","Puxo os dados manualmente","1","3772","5293","0.03","71.26","Múltipla","136"
"2023","Banco de dados utilizado","Planilha","1","3772","5293","0.03","71.26","Múltipla","137"
"2023","Banco de dados utilizado","Google Spreadsheets","1","3772","5293","0.03","71.26","Múltipla","138"
"2023","Banco de dados utilizado","Não trabalho na área","1","3772","5293","0.03","71.26","Múltipla","139"
"2023","Banco de dados utilizado","Não uso.","1","3772","5293","0.03","71.26","Múltipla","140"
"2023","Banco de dados utilizado","n/a","1","3772","5293","0.03","71.26","Múltipla","141"
"2023","Banco de dados utilizado","Main fraime","1","3772","5293","0.03","71.26","Múltipla","142"
"2023","Banco de dados utilizado","Mongo DB","1","3772","5293","0.03","71.26","Múltipla","143"
"2023","Banco de dados utilizado","hadoop/hdfs","1","3772","5293","0.03","71.26","Múltipla","144"
"2023","Banco de dados utilizado","Power Dataverse","1","3772","5293","0.03","71.26","Múltipla","145"
"2023","Banco de dados utilizado","J","1","3772","5293","0.03","71.26","Múltipla","146"
"2023","Banco de dados utilizado","Plataforma própria","1","3772","5293","0.03","71.26","Múltipla","147"
"2023","Banco de dados utilizado","API rest","1","3772","5293","0.03","71.26","Múltipla","148"
"2023","Banco de dados utilizado","sap","1","3772","5293","0.03","71.26","Múltipla","149"
"2023","Banco de dados utilizado","GS","1","3772","5293","0.03","71.26","Múltipla","150"
"2023","Banco de dados utilizado","Kobo Toolbox","1","3772","5293","0.03","71.26","Múltipla","151"
"2023","Banco de dados utilizado","Essbase Multidimensional","1","3772","5293","0.03","71.26","Múltipla","152"
"2023","Banco de dados utilizado","HPCC","1","3772","5293","0.03","71.26","Múltipla","153"
"2023","Banco de dados utilizado","Scylla","1","3772","5293","0.03","71.26","Múltipla","154"
"2023","Banco de dados utilizado","infelizmente","1","3772","5293","0.03","71.26","Múltipla","155"
"2023","Banco de dados utilizado","Dados de pesquisas realizadas","1","3772","5293","0.03","71.26","Múltipla","156"
"2023","Banco de dados utilizado","ClickHouse","1","3772","5293","0.03","71.26","Múltipla","157"
"2023","Banco de dados utilizado","nenhuma","1","3772","5293","0.03","71.26","Múltipla","158"
"2023","Banco de dados utilizado","solr","1","3772","5293","0.03","71.26","Múltipla","159"
"2023","Banco de dados utilizado","Protheus","1","3772","5293","0.03","71.26","Múltipla","160"
"2023","Banco de dados utilizado","Nao trabalho ainda com dados :(","1","3772","5293","0.03","71.26","Múltipla","161"
"2023","Banco de dados utilizado","Não utilizo banco de dados em minha função.","1","3772","5293","0.03","71.26","Múltipla","162"
"2023","Banco de dados utilizado","não sou da área de ti","1","3772","5293","0.03","71.26","Múltipla","163"
"2023","Banco de dados utilizado","NÃO SEI DIZER","1","3772","5293","0.03","71.26","Múltipla","164"
"2023","Banco de dados utilizado","Redash","1","3772","5293","0.03","71.26","Múltipla","165"
"2023","Banco de dados utilizado","PEGADB","1","3772","5293","0.03","71.26","Múltipla","166"
"2023","Banco de dados utilizado","Airflow","1","3772","5293","0.03","71.26","Múltipla","167"
"2023","Banco de dados utilizado","Synapse Dedicated Pool","1","3772","5293","0.03","71.26","Múltipla","168"
"2023","Banco de dados utilizado","no momento não trabalho com banco de dados","1","3772","5293","0.03","71.26","Múltipla","169"
"2023","Banco de dados utilizado","Totvs","1","3772","5293","0.03","71.26","Múltipla","170"
"2023","Banco de dados utilizado","Azure Datahouse","1","3772","5293","0.03","71.26","Múltipla","171"
"2023","Banco de dados utilizado","ADLS gen2","1","3772","5293","0.03","71.26","Múltipla","172"
"2023","Banco de dados utilizado","outro","1","3772","5293","0.03","71.26","Múltipla","173"
"2023","Banco de dados utilizado","-","1","3772","5293","0.03","71.26","Múltipla","174"
"2023","Banco de dados utilizado","Microsoft Fabric","1","3772","5293","0.03","71.26","Múltipla","175"
"2023","Banco de dados utilizado","Não utilizamos","1","3772","5293","0.03","71.26","Múltipla","176"
"2023","Banco de dados utilizado","Dremio","1","3772","5293","0.03","71.26","Múltipla","177"
"2023","Banco de dados utilizado","Não chego a utilizar um banco","1","3772","5293","0.03","71.26","Múltipla","178"
"2023","Banco de dados utilizado","excel","1","3772","5293","0.03","71.26","Múltipla","179"
"2023","Banco de dados utilizado","Sistema Próprio","1","3772","5293","0.03","71.26","Múltipla","180"
"2023","Banco de dados utilizado","NENHUM","1","3772","5293","0.03","71.26","Múltipla","181"
"2023","Banco de dados utilizado","Chroma.db","1","3772","5293","0.03","71.26","Múltipla","182"
"2023","Banco de dados utilizado","DuckDB","1","3772","5293","0.03","71.26","Múltipla","183"
"2023","Banco de dados utilizado","Não trabalho na área de dados.","1","3772","5293","0.03","71.26","Múltipla","184"
"2023","Banco de dados utilizado","Google spreadsheet","1","3772","5293","0.03","71.26","Múltipla","185"
"2023","Banco de dados utilizado","Azure data Lake","1","3772","5293","0.03","71.26","Múltipla","186"
"2023","Banco de dados utilizado","Nenhuma da lista","1","3772","5293","0.03","71.26","Múltipla","187"
"2023","Banco de dados utilizado","RStudio","1","3772","5293","0.03","71.26","Múltipla","188"
"2023","Banco de dados utilizado","Ainda não utilizo banco de dados","1","3772","5293","0.03","71.26","Múltipla","189"
"2023","Banco de dados utilizado","Blobs","1","3772","5293","0.03","71.26","Múltipla","190"
"2023","Banco de dados utilizado","Power BI","1","3772","5293","0.03","71.26","Múltipla","191"
"2023","Banco de dados utilizado","Não atuo na área","1","3772","5293","0.03","71.26","Múltipla","192"
"2023","Banco de dados utilizado","SAP","1","3772","5293","0.03","71.26","Múltipla","193"
"2023","Banco de dados utilizado","Não utilizo banco de dados","1","3772","5293","0.03","71.26","Múltipla","194"
"2023","Banco de dados utilizado","Collective Access","1","3772","5293","0.03","71.26","Múltipla","195"
"2023","Banco de dados utilizado","Z","1","3772","5293","0.03","71.26","Múltipla","196"
"2023","Banco de dados utilizado","Blob storage gen 2","1","3772","5293","0.03","71.26","Múltipla","197"
"2023","Banco de dados utilizado","Não tenho acesso ao banco","1","3772","5293","0.03","71.26","Múltipla","198"
"2023","Banco de dados utilizado","SAP Hana","1","3772","5293","0.03","71.26","Múltipla","199"
"2023","Banco de dados utilizado","Não sei","1","3772","5293","0.03","71.26","Múltipla","200"
"2023","Banco de dados utilizado","Neogrid Visor","1","3772","5293","0.03","71.26","Múltipla","201"
"2023","Banco de dados utilizado","Informix","1","3772","5293","0.03","71.26","Múltipla","202"
"2023","Banco de dados utilizado","Apache Druid","1","3772","5293","0.03","71.26","Múltipla","203"
"2023","Banco de dados utilizado","IBM","1","3772","5293","0.03","71.26","Múltipla","204"
"2023","Banco de dados utilizado","Azure Databricks","1","3772","5293","0.03","71.26","Múltipla","205"
"2023","Cloud preferida","AWS","1640","3772","5293","43.48","71.26","Única","1"
"2023","Cloud preferida","GCP","1050","3772","5293","27.84","71.26","Única","2"
"2023","Cloud preferida","Azure","1018","3772","5293","26.99","71.26","Única","3"
"2023","Cloud preferida","Sem preferência / Não sei opinar","34","3772","5293","0.9","71.26","Única","4"
"2023","Cloud preferida","Oracle Cloud","5","3772","5293","0.13","71.26","Única","5"
"2023","Cloud preferida","Databricks","3","3772","5293","0.08","71.26","Única","6"
"2023","Cloud preferida","IBM Cloud","3","3772","5293","0.08","71.26","Única","7"
"2023","Cloud preferida","Cloud própria","2","3772","5293","0.05","71.26","Única","8"
"2023","Cloud preferida","Denodo","1","3772","5293","0.03","71.26","Única","9"
"2023","Cloud preferida","Huawei Cloud","1","3772","5293","0.03","71.26","Única","10"
"2023","Cloud preferida","Desconheço","1","3772","5293","0.03","71.26","Única","11"
"2023","Cloud preferida","Hibrida é o melhor caminha. OnPremise + Cloud Publica","1","3772","5293","0.03","71.26","Única","12"
"2023","Cloud preferida","Snowflake","1","3772","5293","0.03","71.26","Única","13"
"2023","Cloud preferida","NR","1","3772","5293","0.03","71.26","Única","14"
"2023","Cloud preferida","Microsoft Service Power BI","1","3772","5293","0.03","71.26","Única","15"
"2023","Cloud preferida","Não saberia dizer","1","3772","5293","0.03","71.26","Única","16"
"2023","Cloud preferida","Nao consigo escolher","1","3772","5293","0.03","71.26","Única","17"
"2023","Cloud preferida","não trabalho na área","1","3772","5293","0.03","71.26","Única","18"
"2023","Cloud preferida","Proprietária","1","3772","5293","0.03","71.26","Única","19"
"2023","Cloud preferida","Z","1","3772","5293","0.03","71.26","Única","20"
"2023","Cloud preferida","NA","1","3772","5293","0.03","71.26","Única","21"
"2023","Cloud preferida","nenhum","1","3772","5293","0.03","71.26","Única","22"
"2023","Cloud preferida","não utilizo","1","3772","5293","0.03","71.26","Única","23"
"2023","Cloud preferida","Não foi necessário triar ainda","1","3772","5293","0.03","71.26","Única","24"
"2023","Cloud preferida","Não tenho conhecimento para responder","1","3772","5293","0.03","71.26","Única","25"
"2023","Ferramenta de BI preferida","Microsoft Power BI","2370","3772","5293","62.83","71.26","Única","1"
"2023","Ferramenta de BI preferida","Tableau","553","3772","5293","14.66","71.26","Única","2"
"2023","Ferramenta de BI preferida","Looker","335","3772","5293","8.88","71.26","Única","3"
"2023","Ferramenta de BI preferida","Metabase","169","3772","5293","4.48","71.26","Única","4"
"2023","Ferramenta de BI preferida","Amazon QuickSight","107","3772","5293","2.84","71.26","Única","5"
"2023","Ferramenta de BI preferida","Qlik View/Qlik Sense","78","3772","5293","2.07","71.26","Única","6"
"2023","Ferramenta de BI preferida","Sem preferência / Não sei opinar","15","3772","5293","0.4","71.26","Única","7"
"2023","Ferramenta de BI preferida","Superset","13","3772","5293","0.34","71.26","Única","8"
"2023","Ferramenta de BI preferida","Streamlit","9","3772","5293","0.24","71.26","Única","9"
"2023","Ferramenta de BI preferida","Databricks","7","3772","5293","0.19","71.26","Única","10"
"2023","Ferramenta de BI preferida","Looker Studio","7","3772","5293","0.19","71.26","Única","11"
"2023","Ferramenta de BI preferida","Grafana","6","3772","5293","0.16","71.26","Única","12"
"2023","Ferramenta de BI preferida","Alteryx","6","3772","5293","0.16","71.26","Única","13"
"2023","Ferramenta de BI preferida","Shiny","6","3772","5293","0.16","71.26","Única","14"
"2023","Ferramenta de BI preferida","Excel","4","3772","5293","0.11","71.26","Única","15"
"2023","Ferramenta de BI preferida","Databricks SQL","3","3772","5293","0.08","71.26","Única","16"
"2023","Ferramenta de BI preferida","NA","3","3772","5293","0.08","71.26","Única","17"
"2023","Ferramenta de BI preferida","Sem preferência","3","3772","5293","0.08","71.26","Única","18"
"2023","Ferramenta de BI preferida",".","3","3772","5293","0.08","71.26","Única","19"
"2023","Ferramenta de BI preferida","Oracle Analytics Cloud","2","3772","5293","0.05","71.26","Única","20"
"2023","Ferramenta de BI preferida","Microstrategy","2","3772","5293","0.05","71.26","Única","21"
"2023","Ferramenta de BI preferida","Redash","2","3772","5293","0.05","71.26","Única","22"
"2023","Ferramenta de BI preferida","Não utilizo","2","3772","5293","0.05","71.26","Única","23"
"2023","Ferramenta de BI preferida","nenhum","2","3772","5293","0.05","71.26","Única","24"
"2023","Ferramenta de BI preferida","Python","2","3772","5293","0.05","71.26","Única","25"
"2023","Ferramenta de BI preferida","Dash","2","3772","5293","0.05","71.26","Única","26"
"2023","Ferramenta de BI preferida","Tanto faz","2","3772","5293","0.05","71.26","Única","27"
"2023","Ferramenta de BI preferida","Matplotlib/Plotly/Seaborn","1","3772","5293","0.03","71.26","Única","28"
"2023","Ferramenta de BI preferida","Custom","1","3772","5293","0.03","71.26","Única","29"
"2023","Ferramenta de BI preferida","Sendo sincero, nenhum","1","3772","5293","0.03","71.26","Única","30"
"2023","Ferramenta de BI preferida","nao consigo responder","1","3772","5293","0.03","71.26","Única","31"
"2023","Ferramenta de BI preferida","Looker studio","1","3772","5293","0.03","71.26","Única","32"
"2023","Ferramenta de BI preferida","Tibco spotfire","1","3772","5293","0.03","71.26","Única","33"
"2023","Ferramenta de BI preferida","não trabalho na área","1","3772","5293","0.03","71.26","Única","34"
"2023","Ferramenta de BI preferida","Webapps Python (Streamlit)","1","3772","5293","0.03","71.26","Única","35"
"2023","Ferramenta de BI preferida","Dashboard em código puro tem se mestrado a melhor opção","1","3772","5293","0.03","71.26","Única","36"
"2023","Ferramenta de BI preferida","Z","1","3772","5293","0.03","71.26","Única","37"
"2023","Ferramenta de BI preferida","Matplotlib","1","3772","5293","0.03","71.26","Única","38"
"2023","Ferramenta de BI preferida","não sou do bi","1","3772","5293","0.03","71.26","Única","39"
"2023","Ferramenta de BI preferida","Plotly","1","3772","5293","0.03","71.26","Única","40"
"2023","Ferramenta de BI preferida","DataBricks","1","3772","5293","0.03","71.26","Única","41"
"2023","Ferramenta de BI preferida","Graphana","1","3772","5293","0.03","71.26","Única","42"
"2023","Ferramenta de BI preferida","xxxxxxxxxx","1","3772","5293","0.03","71.26","Única","43"
"2023","Ferramenta de BI preferida","Solução própria","1","3772","5293","0.03","71.26","Única","44"
"2023","Ferramenta de BI preferida","Amplitude","1","3772","5293","0.03","71.26","Única","45"
"2023","Ferramenta de BI preferida","R Shiny","1","3772","5293","0.03","71.26","Única","46"
"2023","Ferramenta de BI preferida","Dashboards customizadas em Python","1","3772","5293","0.03","71.26","Única","47"
"2023","Ferramenta de BI preferida","Databricks Dashboards","1","3772","5293","0.03","71.26","Única","48"
"2023","Ferramenta de BI preferida","Sql databricks","1","3772","5293","0.03","71.26","Única","49"
"2023","Ferramenta de BI preferida","Pentaho","1","3772","5293","0.03","71.26","Única","50"
"2023","Ferramenta de BI preferida","Nenhum","1","3772","5293","0.03","71.26","Única","51"
"2023","Ferramenta de BI preferida","Python Dash","1","3772","5293","0.03","71.26","Única","52"
"2023","Ferramenta de BI preferida","Não uso","1","3772","5293","0.03","71.26","Única","53"
"2023","Ferramenta de BI preferida","nao trabalho com bi","1","3772","5293","0.03","71.26","Única","54"
"2023","Ferramenta de BI preferida","R shiny","1","3772","5293","0.03","71.26","Única","55"
"2023","Ferramenta de BI preferida","Não gosto da parte de visualização","1","3772","5293","0.03","71.26","Única","56"
"2023","Ferramenta de BI preferida","Apache Superset, que faltou na última lista inclusive não entendi pq","1","3772","5293","0.03","71.26","Única","57"
"2023","Ferramenta de BI preferida","Sigma Computing","1","3772","5293","0.03","71.26","Única","58"
"2023","Ferramenta de BI preferida","Trame","1","3772","5293","0.03","71.26","Única","59"
"2023","Ferramenta de BI preferida","Não possuo opinião","1","3772","5293","0.03","71.26","Única","60"
"2023","Ferramenta de BI preferida","apenas python","1","3772","5293","0.03","71.26","Única","61"
"2023","Ferramenta de BI preferida","IBM Cognos","1","3772","5293","0.03","71.26","Única","62"
"2023","Ferramenta de BI preferida","More","1","3772","5293","0.03","71.26","Única","63"
"2023","Ferramenta de BI preferida","Plotly Dash","1","3772","5293","0.03","71.26","Única","64"
"2023","Ferramenta de BI preferida","Não uso ferramenta de BI","1","3772","5293","0.03","71.26","Única","65"
"2023","Ferramenta de BI preferida","Desenvolvimento Proprio","1","3772","5293","0.03","71.26","Única","66"
